Chapter,Verse,Verse ID,Short English Translation,Symbolic Conscience Mapping,Ethical Trait
16,17,16.17,Sample translation of verse 16.17,Field and Knower of the Field,Priority of Dharma
16,18,16.18,Sample translation of verse 16.18,Field and Knower of the Field,Devotion
16,19,16.19,Sample translation of verse 16.19,Field and Knower of the Field,Non-attachment
16,20,16.2,Sample translation of verse 16.20,Field and Knower of the Field,Non-malice
17,1,17.1,Sample translation of verse 17.1,Renunciation and Detachment,Service
17,2,17.2,Sample translation of verse 17.2,Renunciation and Detachment,Priority of Dharma
17,3,17.3,Sample translation of verse 17.3,Renunciation and Detachment,Devotion
17,4,17.4,Sample translation of verse 17.4,Renunciation and Detachment,Non-attachment
17,5,17.5,Sample translation of verse 17.5,Renunciation and Detachment,Non-malice
17,6,17.6,Sample translation of verse 17.6,Renunciation and Detachment,Service
17,7,17.7,Sample translation of verse 17.7,Renunciation and Detachment,Priority of Dharma
17,8,17.8,Sample translation of verse 17.8,Renunciation and Detachment,Devotion
17,9,17.9,Sample translation of verse 17.9,Renunciation and Detachment,Non-attachment
17,10,17.1,Sample translation of verse 17.10,Renunciation and Detachment,Non-malice
17,11,17.11,Sample translation of verse 17.11,Renunciation and Detachment,Service
17,12,17.12,Sample translation of verse 17.12,Renunciation and Detachment,Priority of Dharma
17,13,17.13,Sample translation of verse 17.13,Renunciation and Detachment,Devotion
17,14,17.14,Sample translation of verse 17.14,Renunciation and Detachment,Non-attachment
17,15,17.15,Sample translation of verse 17.15,Renunciation and Detachment,Non-malice
17,16,17.16,Sample translation of verse 17.16,Renunciation and Detachment,Service
17,17,17.17,Sample translation of verse 17.17,Renunciation and Detachment,Priority of Dharma
17,18,17.18,Sample translation of verse 17.18,Renunciation and Detachment,Devotion
17,19,17.19,Sample translation of verse 17.19,Renunciation and Detachment,Non-attachment
17,20,17.2,Sample translation of verse 17.20,Renunciation and Detachment,Non-malice
18,1,18.1,Sample translation of verse 18.1,Supreme Surrender to Dharma,Service
18,2,18.2,Sample translation of verse 18.2,Supreme Surrender to Dharma,Priority of Dharma
18,3,18.3,Sample translation of verse 18.3,Supreme Surrender to Dharma,Devotion
18,4,18.4,Sample translation of verse 18.4,Supreme Surrender to Dharma,Non-attachment
18,5,18.5,Sample translation of verse 18.5,Supreme Surrender to Dharma,Non-malice
18,6,18.6,Sample translation of verse 18.6,Supreme Surrender to Dharma,Service
18,7,18.7,Sample translation of verse 18.7,Supreme Surrender to Dharma,Priority of Dharma
18,8,18.8,Sample translation of verse 18.8,Supreme Surrender to Dharma,Devotion
18,9,18.9,Sample translation of verse 18.9,Supreme Surrender to Dharma,Non-attachment
18,10,18.1,Sample translation of verse 18.10,Supreme Surrender to Dharma,Non-malice
18,11,18.11,Sample translation of verse 18.11,Supreme Surrender to Dharma,Service
18,12,18.12,Sample translation of verse 18.12,Supreme Surrender to Dharma,Priority of Dharma
18,13,18.13,Sample translation of verse 18.13,Supreme Surrender to Dharma,Devotion
18,14,18.14,Sample translation of verse 18.14,Supreme Surrender to Dharma,Non-attachment
18,15,18.15,Sample translation of verse 18.15,Supreme Surrender to Dharma,Non-malice
18,16,18.16,Sample translation of verse 18.16,Supreme Surrender to Dharma,Service
18,17,18.17,Sample translation of verse 18.17,Supreme Surrender to Dharma,Priority of Dharma
18,18,18.18,Sample translation of verse 18.18,Supreme Surrender to Dharma,Devotion
18,19,18.19,Sample translation of verse 18.19,Supreme Surrender to Dharma,Non-attachment
18,20,18.2,Sample translation of verse 18.20,Supreme Surrender to Dharma,Non-malice
