Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
OQ556920,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2014-01-26
OQ556921,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-04-06
OQ556922,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-04-06
OQ556923,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-07-20
OQ556924,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-07-21
OQ556925,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-16
OQ556926,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-17
OQ556927,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-17
OQ556928,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-17
OQ556929,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,663,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-17
OQ556930,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-18
OQ556931,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys erythroleucus,blood,2015-10-18
OQ556932,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Ebudin,Nigeria,Mastomys natalensis,blood,2015-10-18
OQ556933,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556934,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556935,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556936,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556937,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556938,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556939,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556940,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556941,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-19
OQ556942,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556943,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556944,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556945,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556946,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556947,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556948,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556949,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556950,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556951,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556952,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556953,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556954,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,861,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556955,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556956,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556957,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-20
OQ556958,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-21
OQ556959,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-21
OQ556960,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-21
OQ556961,Mammarenavirus lassaense,"Adesina,A.S., Oyeyiola,A., Obadare,A., Igbokwe,J., Abejegah,C., Akhilomen,P., Bangura,U., Asogun,D., Tobin,E., Ayodeji,O., Osoniyi,O., Davis,C., Thomson,E.C., Pahlmann,M., Gunther,S., Fichet-Calvet,E., Olayemi,A., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2023-06-18,,Mammarenavirus lassaense,870,partial,Nigeria: Okeluse,Nigeria,Mastomys natalensis,blood,2015-10-21
